Chicken Breed Name,Egg Production,Egg Color,Cold Hardy,Heat Hardy,Purpose,Broody,Mating Ratio,Roost Height
Austra White,220-280 eggs per year,Cream,Good,Good,Eggs & Meat,Infrequent,12 Females to 1 Males,4 to 8 feet
Ayam Cemani,80-100 per year,White,Good,,Ornamental/ Eggs & Meat,Frequent,8 Females to 1 Male,4+ feet
Barnevelder,150-200 eggs per year,Dark Brown,Poor,,Eggs & Meat,Infrequent,7 Females to 1 Male,2 to 4 feet
Barred Cochin Bantam,Fair,Brown,Very,,Pets & Eggs,Very,6 Females to 1 Male,0 to 2 feet
Barred Cochin Standard,110-160 eggs per year,Brown,Very,,Exhibition & Meat,Very,6 Females to 1 Male,0 to 2 feet
Barred Old English Bantam,120 eggs per year,Cream,Good,,Ornamental,Occasional,9 Females to 1 Male,3+ feet
Barred Rock,200 – 280 eggs per year,Brown,Very,Very,Eggs & Meat,Infrequent,10 Females to 1 Male,2 to 4 feet
Barred Rock Bantam,Good,Brown,Very,Very,"Show, Pet & Egg",Infrequent,8 Females to 1 Male,2 to 4 feet
Bielefelder,230 eggs per year,Brown,Very,Very,Eggs & Meat,Frequent,12 Females to 1 Males,2 to 4 feet
Birchen Cochin Bantam,Fair,Brown,Very,,Pets & Eggs,Very,9 Females to 1 Male,3+ feet
Birchen Standard Old English,120 eggs per year,Cream,Good,,Ornamental,Infrequent,6 Females to 1 Male,4+ feet
Black Ameraucana,180-200 eggs per year,Green or Blue,Very,,Eggs,Occasional,12 Females to 1 Male,4+ feet
Black Australorp,200-280 eggs per year,Brown,Very,Very,Eggs & Meat,Infrequent,10 Females to 1 Males,2 to 4 feet
Black Breasted Brown Red Old English Standard,120 eggs per year,Cream,Good,,Ornamental & Exhibition,Infrequent,6 Females to 1 Male,4+ feet
Black Breasted Red Aseel,Poor,Cream,Good,,Ornamental & Exhibition,Frequent,4 Females to 1 Male,4 to 6 feet
Black Breasted Red Cubalaya Bantam,Fair,Cream,Poor,Very,Ornamental & Exhibition,Frequent,8 Females to 1 Male,4+ feet
Black Breasted Red Jungle Fowl Standard Old English,120 eggs per year,Cream,Good,,Ornamental & Exhibition,Infrequent,6 Females to 1 Male,4+ feet
Black Breasted Red Old English Bantam,Poor,Cream,Good,,Ornamental,Infrequent,9 Females to 1 Male,3+ feet
Black Breasted Red Phoenix,Poor,Cream,Poor,,Ornamental & Exhibition,Infrequent,9 Females to 1 Male,6+ feet
Black Breasted Red Phoenix Bantam,Poor,Cream,Poor,,Ornamental,Infrequent,8 Females to 1 Male,4+ feet
Black Breasted Red Standard Old English,120 eggs per year,Cream,Good,,Ornamental & Exhibition,Infrequent,6 Females to 1 Male,4+ feet
Black Cochin Bantams,Fair,Brown,Very,,Pets & Eggs,Very,6 Females to 1 Male,0 to 2 feet
Black Cochin Standard,110-160 eggs per year,Brown,Very,,Exhibition & Meat,Very,6 Females to 1 Male,0 to 2 feet
Black Japanese Bantam,Fair,Cream,Very,Very,Ornamental,Infrequent,6 Females to 1 Male,2 to 4 feet
Black Jersey Giant,180-260 eggs per year,Brown,Very,,Eggs & Meat,Occasional,9 Females to 1 Male,2 to 4 feet
Black Laced Golden Wyandotte,180-260 eggs per year,Brown,Very,,Eggs & Meat,Infrequent,9 Females to 1 Male,2 to 4 feet
Black Laced Red Wyandotte,180-260 eggs per year,Brown,Very,,Eggs & Meat,Infrequent,9 Females to 1 Male,2 to 4 feet
Black Laced Silver Wyandotte,180-260 eggs per year,Brown,Very,,Eggs & Meat,Infrequent,9 Females to 1 Male,2 to 4 feet
