id, Start Time, End Time, Feed Type, Quantity (oz), Quantity (ml or g), Notes, Duration (Minutes), Food Type, Unit, Bottle Type
1523,10:12:57 11-21-2021,10:43:20 11-21-2021,Left Breast,,,,30,Breast Milk,,
1522,20:39:42 11-20-2021,20:54:38 11-20-2021,Left Breast,,,,14,Breast Milk,,
1521,16:34:40 11-20-2021,16:43:40 11-20-2021,Right Breast,,,,9,Breast Milk,,
1520,14:13:06 11-20-2021,14:17:49 11-20-2021,Left Breast,,,,4,Breast Milk,,
1519,13:43:00 11-20-2021,14:00:17 11-20-2021,Right Breast,,,,17,Breast Milk,,
1518,10:05:26 11-20-2021,10:22:22 11-20-2021,Right Breast,,,,16,Breast Milk,,
1517,08:19:56 11-20-2021,08:37:23 11-20-2021,Left Breast,,,,17,Breast Milk,,
1516,20:56:49 11-19-2021,21:06:53 11-19-2021,Left Breast,,,,10,Breast Milk,,
1515,20:16:50 11-19-2021,20:35:56 11-19-2021,Right Breast,,,,19,Breast Milk,,
1514,17:27:41 11-19-2021,17:36:41 11-19-2021,Bottle,2.00,59,,9,Liquid,IMPERIAL,Pump
1510,17:00:24 11-19-2021,17:10:24 11-19-2021,Right Breast,,,,10,Breast Milk,,
1513,14:22:11 11-19-2021,14:30:11 11-19-2021,Bottle,4.00,118,,8,Liquid,IMPERIAL,Pump
1512,12:08:49 11-19-2021,12:25:49 11-19-2021,Bottle,4.00,118,,17,Liquid,IMPERIAL,Pump
1511,10:04:36 11-19-2021,10:15:36 11-19-2021,Bottle,4.00,118,,11,Liquid,IMPERIAL,Pump
1509,07:00:01 11-19-2021,07:20:01 11-19-2021,Right Breast,,,,20,Breast Milk,,
1504,19:20:59 11-18-2021,19:21:00 11-18-2021,Left Breast,,,,0,Breast Milk,,
1503,17:04:57 11-18-2021,17:12:32 11-18-2021,Right Breast,,,,7,Breast Milk,,
1508,14:47:52 11-18-2021,15:00:52 11-18-2021,Bottle,4.00,118,,13,Liquid,IMPERIAL,Pump
1507,12:47:32 11-18-2021,13:00:32 11-18-2021,Bottle,3.00,88,,13,Liquid,IMPERIAL,Pump
1506,10:57:09 11-18-2021,11:10:09 11-18-2021,Bottle,3.00,88,,13,Liquid,IMPERIAL,Pump
1505,08:55:50 11-18-2021,09:05:50 11-18-2021,Bottle,4.00,118,,10,Liquid,IMPERIAL,Pump
1498,06:12:00 11-18-2021,06:21:00 11-18-2021,Left Breast,,,,9,Breast Milk,,
1497,21:08:02 11-17-2021,21:10:21 11-17-2021,Right Breast,,,,2,Breast Milk,,
1496,20:26:12 11-17-2021,20:43:59 11-17-2021,Right Breast,,,,17,Breast Milk,,
1495,19:03:37 11-17-2021,19:08:13 11-17-2021,Right Breast,,,,4,Breast Milk,,
1494,18:33:43 11-17-2021,18:47:02 11-17-2021,Left Breast,,,,13,Breast Milk,,
1493,17:48:53 11-17-2021,17:54:38 11-17-2021,Right Breast,,,,5,Breast Milk,,
1502,14:51:48 11-17-2021,15:00:48 11-17-2021,Bottle,4.00,118,,9,Liquid,IMPERIAL,Pump
1501,11:00:27 11-17-2021,11:10:27 11-17-2021,Bottle,4.00,118,,10,Liquid,IMPERIAL,Pump
1500,09:09:00 11-17-2021,09:20:00 11-17-2021,Bottle,2.50,73,,11,Liquid,IMPERIAL,Pump
1499,08:00:06 11-17-2021,08:05:06 11-17-2021,Bottle,0.50,14,,5,Liquid,IMPERIAL,Pump
