pokedex_no,pokedex_link,img_link2,name,variant,type,type2,gen
1,/wiki/Bulbasaur_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/21/001Bulbasaur.png/70px-001Bulbasaur.png,Bulbasaur,,Grass,Poison,1
2,/wiki/Ivysaur_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/73/002Ivysaur.png/70px-002Ivysaur.png,Ivysaur,,Grass,Poison,1
3,/wiki/Venusaur_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/ae/003Venusaur.png/70px-003Venusaur.png,Venusaur,,Grass,Poison,1
4,/wiki/Charmander_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/73/004Charmander.png/70px-004Charmander.png,Charmander,,Fire,Fire,1
5,/wiki/Charmeleon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/4a/005Charmeleon.png/70px-005Charmeleon.png,Charmeleon,,Fire,Fire,1
6,/wiki/Charizard_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/7e/006Charizard.png/70px-006Charizard.png,Charizard,,Fire,Flying,1
7,/wiki/Squirtle_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/39/007Squirtle.png/70px-007Squirtle.png,Squirtle,,Water,Water,1
8,/wiki/Wartortle_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/0c/008Wartortle.png/70px-008Wartortle.png,Wartortle,,Water,Water,1
9,/wiki/Blastoise_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/02/009Blastoise.png/70px-009Blastoise.png,Blastoise,,Water,Water,1
10,/wiki/Caterpie_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/5d/010Caterpie.png/70px-010Caterpie.png,Caterpie,,Bug,Bug,1
11,/wiki/Metapod_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/cd/011Metapod.png/70px-011Metapod.png,Metapod,,Bug,Bug,1
12,/wiki/Butterfree_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d1/012Butterfree.png/70px-012Butterfree.png,Butterfree,,Bug,Flying,1
